,date,time,x,y,z,label
289,2018-10-22,17:7:5,-1.6551116,-4.41754172,8.6727562,sitting
290,2018-10-22,17:7:6,-1.6436194,-4.40772538,8.6813755,sitting
291,2018-10-22,17:7:7,-1.65678755,-4.40293675,8.67778425,sitting
292,2018-10-22,17:7:8,-1.6460136,-4.39216275,8.68017838,sitting
293,2018-10-22,17:7:9,-1.66756148,-4.42999164,8.667968,sitting
294,2018-10-22,17:38:37,-1.82031156,-5.59501,7.83526448,sitting
295,2018-10-22,17:38:38,-1.8195933,-5.6982,7.7703817,sitting
296,2018-10-22,17:38:39,-1.827973,-5.73052173,7.75721365,sitting
297,2018-10-22,17:38:40,-1.8339585,-5.7436898,7.7667905,sitting
298,2018-10-22,17:38:41,-3.43496118,-8.91624668,3.53527822,sitting
299,2018-10-22,17:38:42,-2.99424838,-7.892486,4.1695023,sitting
300,2018-10-22,17:38:43,-1.2743139,-7.32266575,6.06690715,sitting
301,2018-10-22,17:38:44,-1.1145009,-7.1071877,6.72890395,sitting
302,2018-10-22,17:38:45,-1.09774147,-6.90487768,6.80551838,sitting
303,2018-10-22,17:38:46,-1.07356008,-7.06696522,6.79330796,sitting
304,2018-10-22,17:38:47,-1.07619367,-7.04493855,6.7911532,sitting
305,2018-10-22,17:38:48,-1.1061212,-7.04134735,6.7899561,sitting
306,2018-10-22,17:38:49,-1.05704008,-7.0664864,6.74446632,sitting
307,2018-10-22,17:38:50,-1.06494093,-6.92139776,7.0346433,sitting
308,2018-10-22,17:38:51,-0.5892729,-4.80546212,8.24084225,sitting
309,2018-10-22,17:38:52,-0.4563947,-4.9081135,8.42040725,sitting
310,2018-10-22,17:38:53,-0.67516488,-4.7285484,8.53532888,sitting
311,2018-10-22,17:38:54,-0.98258037,-4.32344954,8.690473,sitting
312,2018-10-22,17:38:55,-1.03668932,-4.2999864,8.70411975,sitting
313,2018-10-22,17:38:56,-1.04746327,-4.29878925,8.71369675,sitting
314,2018-10-22,17:38:57,-1.0618285,-4.29639515,8.72447075,sitting
315,2018-10-22,17:38:58,-2.41024284,-7.076542,6.22731852,sitting
316,2018-10-22,17:38:59,-2.48159005,-7.99872892,5.30315682,sitting
